drug,metric,gene,axis,readout,n,rho,perm_p,ci_lo,ci_hi
Venetoclax,LN_IC50,BCL2,guardian,expr,113,-0.45435358944586246,0.0001999600079984003,-0.6009275574037283,-0.283471083647201
Venetoclax,LN_IC50,BCL2,guardian,func,63,-0.5714285714285715,0.0001999600079984003,-0.7395566207804524,-0.359285786109487
Venetoclax,LN_IC50,MCL1,guardian,expr,113,0.4674046842770644,0.0001999600079984003,0.3064015174258419,0.6013903975706069
Venetoclax,LN_IC50,MCL1,guardian,func,63,-0.12807219662058372,0.3155368926214757,-0.3646084006908601,0.1298820058486632
Venetoclax,LN_IC50,BCL2L1,guardian,expr,113,0.32333872571111705,0.0009998000399920016,0.1514788153454477,0.47834449261825085
Venetoclax,LN_IC50,BCL2L1,guardian,func,63,0.33549347158218124,0.00599880023995201,0.09006755881201936,0.5473313227253455
Venetoclax,LN_IC50,BAX,executioner,expr,113,-0.1024436090225564,0.27594481103779245,-0.2919947445515338,0.08990869704765822
Venetoclax,LN_IC50,BAX,executioner,func,63,-0.0718125960061444,0.5668866226754649,-0.3278753417741608,0.18296029920530868
Venetoclax,LN_IC50,BAK1,executioner,expr,113,0.058379043761915106,0.5406918616276745,-0.13465313960553368,0.2520389753145546
Venetoclax,LN_IC50,BAK1,executioner,func,63,-0.0067684331797235025,0.9612077584483103,-0.25257464852134115,0.23388324140099348
Venetoclax,AUC,BCL2,guardian,expr,113,-0.5134480428441116,0.0001999600079984003,-0.6377962519065624,-0.3668453482217359
Venetoclax,AUC,BCL2,guardian,func,63,-0.6068068356374808,0.0001999600079984003,-0.7680208851709104,-0.401475441600887
Venetoclax,AUC,MCL1,guardian,expr,113,0.4605096812828532,0.0001999600079984003,0.3032174592742086,0.5940727015332145
Venetoclax,AUC,MCL1,guardian,func,63,-0.14448924731182797,0.2513497300539892,-0.39066358818960883,0.12255866139398872
Venetoclax,AUC,BCL2L1,guardian,expr,113,0.27303576849896966,0.003599280143971206,0.08569244492673013,0.4432033944409802
Venetoclax,AUC,BCL2L1,guardian,func,63,0.3097638248847926,0.011797640471905619,0.06424889633923006,0.5225389242414581
Venetoclax,AUC,BAX,executioner,expr,113,-0.07896400292767318,0.40611877624475107,-0.2723181200962355,0.11194157610269768
Venetoclax,AUC,BAX,executioner,func,63,-0.09058179723502305,0.47210557888422316,-0.34625975248814683,0.17015584923882743
Venetoclax,AUC,BAK1,executioner,expr,113,0.02340484814731858,0.8128374325134973,-0.16428236438681842,0.21289070578759114
Venetoclax,AUC,BAK1,executioner,func,63,-0.017473118279569894,0.8874225154969007,-0.2779398652364278,0.23939309375929393
Navitoclax,LN_IC50,BCL2,guardian,expr,115,-0.45154137660407606,0.0001999600079984003,-0.5916617966930684,-0.2837127735226854
Navitoclax,LN_IC50,BCL2,guardian,func,64,-0.5285256410256409,0.0001999600079984003,-0.6945127341499384,-0.32803325019277646
Navitoclax,LN_IC50,MCL1,guardian,expr,115,0.59917146689813,0.0001999600079984003,0.4542975209183464,0.721804920001168
Navitoclax,LN_IC50,MCL1,guardian,func,64,0.2722069597069597,0.03159368126374725,0.023117906659680047,0.50022436255299
Navitoclax,LN_IC50,BCL2L1,guardian,expr,115,-0.18442035990185318,0.04599080183963208,-0.3521490948982503,-0.0030315153571360575
Navitoclax,LN_IC50,BCL2L1,guardian,func,64,-0.13653846153846153,0.27974405118976203,-0.3887435448286095,0.12501468678444844
Navitoclax,LN_IC50,BAX,executioner,expr,115,-0.10611536337094611,0.2605478904219156,-0.28814714542402686,0.08041354873613588
Navitoclax,LN_IC50,BAX,executioner,func,64,0.008058608058608058,0.9544091181763648,-0.2510212130913997,0.27107778874658917
Navitoclax,LN_IC50,BAK1,executioner,expr,115,0.053373523923416766,0.5714857028594281,-0.1354868550199453,0.23862288693555875
Navitoclax,LN_IC50,BAK1,executioner,func,64,-0.03672161172161172,0.769246150769846,-0.2922521776838273,0.21287177489574255
Navitoclax,AUC,BCL2,guardian,expr,115,-0.41475428917097246,0.0001999600079984003,-0.5538706298362319,-0.2520362909832147
Navitoclax,AUC,BCL2,guardian,func,64,-0.4873168498168497,0.0001999600079984003,-0.6666173826330569,-0.2646724701344109
Navitoclax,AUC,MCL1,guardian,expr,115,0.571829874536416,0.0001999600079984003,0.42191026685645827,0.6969061110390405
Navitoclax,AUC,MCL1,guardian,func,64,0.27825091575091576,0.027994401119776045,0.02393099024179084,0.5066304129747677
Navitoclax,AUC,BCL2L1,guardian,expr,115,-0.1897663921990316,0.04519096180763847,-0.3604053862409706,-0.005744345757286039
Navitoclax,AUC,BCL2L1,guardian,func,64,-0.12152014652014652,0.3405318936212757,-0.37461888118926584,0.13537557416129822
Navitoclax,AUC,BAX,executioner,expr,115,-0.11494515899944766,0.22295540891821636,-0.2932722646902366,0.06600271041149963
Navitoclax,AUC,BAX,executioner,func,64,0.048168498168498164,0.7024595080983803,-0.21814106872737937,0.3199006549927045
Navitoclax,AUC,BAK1,executioner,expr,115,0.0212815484951885,0.8198360327934413,-0.16329161087268312,0.20617207490595643
Navitoclax,AUC,BAK1,executioner,func,64,0.0043040293040293035,0.9746050789842031,-0.2606442363426746,0.2549408097772464
