drug,metric,gene,n,delta_abs_rho,ci_lo,ci_hi,frac_func_wins,verdict
Venetoclax,LN_IC50,BCL2,63,0.15202572964669747,-0.06340817305647652,0.3768040264313929,0.9126,ns
Venetoclax,LN_IC50,MCL1,63,-0.2721774193548387,-0.5329216830239362,0.11546971362610446,0.0846,ns
Venetoclax,LN_IC50,BCL2L1,63,-0.07025736551065404,-0.27478742788023236,0.138007876871381,0.2572,ns
Venetoclax,AUC,BCL2,63,0.13157642089093702,-0.0650642369819968,0.3267625724058889,0.9064,ns
Venetoclax,AUC,MCL1,63,-0.26588901689708144,-0.534254434236682,0.12830505165105627,0.0956,ns
Venetoclax,AUC,BCL2L1,63,-0.07114512422276714,-0.2716406005880575,0.13026223585730973,0.249,ns
Navitoclax,LN_IC50,BCL2,64,0.11822344322344314,-0.07173181934141745,0.308375222048688,0.8894,ns
Navitoclax,LN_IC50,MCL1,64,-0.32994505494505494,-0.5663064194475931,-0.07738900583060687,0.0062,SIGNIF
Navitoclax,LN_IC50,BCL2L1,64,-0.0664858404929492,-0.2725796052543722,0.15557365943337512,0.3188,ns
Navitoclax,AUC,BCL2,64,0.14624542124542117,-0.05384884640497416,0.3390068050692638,0.9268,ns
Navitoclax,AUC,MCL1,64,-0.30343406593406586,-0.5484775154273906,-0.04352692712124608,0.0108,SIGNIF
Navitoclax,AUC,BCL2L1,64,-0.07060659486997513,-0.2707091023548254,0.14658547349047146,0.3108,ns
