drug,metric,predictor,n,full_rho,abs_rho,cv_abs_rho,cv_lo,cv_hi,boot_lo,boot_hi,perm_p,random_floor95,beats_BCL2,above_random
Venetoclax,LN_IC50,composite,113,-0.541,0.541,0.514,0.237,0.735,-0.659,-0.4,0.0005,0.193,True,True
Venetoclax,LN_IC50,BCL2_alone,113,-0.454,0.454,0.43,0.134,0.701,-0.602,-0.286,0.0005,0.193,False,True
Venetoclax,LN_IC50,BCL2_minus_MCL1,113,-0.636,0.636,0.614,0.388,0.824,-0.743,-0.493,0.0005,0.193,True,True
Venetoclax,LN_IC50,MCL1_over_BCL2L1,113,0.048,0.048,0.132,0.005,0.414,-0.122,0.207,0.6112,0.193,False,False
Venetoclax,LN_IC50,monocytic_signature,113,-0.002,0.002,0.173,0.011,0.457,-0.193,0.191,0.9825,0.193,False,False
Venetoclax,AUC,composite,113,-0.54,0.54,0.511,0.195,0.726,-0.661,-0.389,0.0005,0.184,True,True
Venetoclax,AUC,BCL2_alone,113,-0.513,0.513,0.486,0.123,0.768,-0.639,-0.37,0.0005,0.184,False,True
Venetoclax,AUC,BCL2_minus_MCL1,113,-0.663,0.663,0.636,0.436,0.824,-0.762,-0.537,0.0005,0.184,True,True
Venetoclax,AUC,MCL1_over_BCL2L1,113,0.076,0.076,0.145,0.008,0.382,-0.096,0.237,0.4168,0.184,False,False
Venetoclax,AUC,monocytic_signature,113,-0.009,0.009,0.174,0.017,0.457,-0.213,0.194,0.933,0.184,False,False
Navitoclax,LN_IC50,composite,115,-0.442,0.442,0.434,0.084,0.735,-0.597,-0.258,0.0005,0.189,False,True
Navitoclax,LN_IC50,BCL2_alone,115,-0.452,0.452,0.442,0.105,0.682,-0.598,-0.284,0.0005,0.189,False,True
Navitoclax,LN_IC50,BCL2_minus_MCL1,115,-0.699,0.699,0.686,0.48,0.863,-0.794,-0.568,0.0005,0.189,True,True
Navitoclax,LN_IC50,MCL1_over_BCL2L1,115,0.538,0.538,0.528,0.282,0.75,0.404,0.65,0.0005,0.189,True,True
Navitoclax,LN_IC50,monocytic_signature,115,-0.118,0.118,0.17,0.006,0.448,-0.297,0.076,0.2114,0.189,False,False
Navitoclax,AUC,composite,115,-0.407,0.407,0.396,0.071,0.699,-0.56,-0.23,0.0005,0.188,False,True
Navitoclax,AUC,BCL2_alone,115,-0.415,0.415,0.404,0.105,0.636,-0.555,-0.251,0.0005,0.188,False,True
Navitoclax,AUC,BCL2_minus_MCL1,115,-0.658,0.658,0.644,0.43,0.829,-0.757,-0.53,0.0005,0.188,True,True
Navitoclax,AUC,MCL1_over_BCL2L1,115,0.53,0.53,0.515,0.242,0.718,0.398,0.637,0.0005,0.188,True,True
Navitoclax,AUC,monocytic_signature,115,-0.141,0.141,0.193,0.014,0.49,-0.322,0.054,0.1394,0.188,False,False
