lof,expr_q,drug,metric,lineage_subset,covset,n,beta,ci_low,ci_high,p,p_fdr
expression_only,0.1,venetoclax,AUC,leukemia_only,lineage_plus_mcl1,41,-0.2797193960424797,-0.5663365771383952,0.0068977850534358565,0.0554788706672833,0.5053185720721185
expression_only,0.1,venetoclax,LN_IC50,leukemia_only,lineage_plus_mcl1,41,-0.23210248688114937,-0.514966612529141,0.050761638766842254,0.10484651241711178,0.5053185720721185
expression_only,0.2,venetoclax,AUC,leukemia_only,lineage_plus_mcl1,41,-0.23179350764531928,-0.48619411009103763,0.022607094800399047,0.0728844580743218,0.5053185720721185
expression_only,0.05,venetoclax,AUC,leukemia_only,lineage,62,-0.21441194244680448,-0.47023127278901056,0.041407387895401576,0.09881183941065139,0.5053185720721185
expression_only,0.05,venetoclax,AUC,leukemia_only,none,62,-0.2048071108202,-0.4575704254300006,0.047956203789600554,0.11030779183664098,0.5053185720721185
expression_only,0.05,venetoclax,LN_IC50,leukemia_only,lineage,62,-0.19683263211097557,-0.4536491885122938,0.05998392429034266,0.1304663413235216,0.5053185720721185
expression_only,0.2,venetoclax,LN_IC50,leukemia_only,lineage_plus_mcl1,41,-0.1925985830696227,-0.4431936339775949,0.05799646783834955,0.1279220031299678,0.5053185720721185
expression_only,0.05,venetoclax,LN_IC50,leukemia_only,none,62,-0.18777341038726195,-0.4414173194271631,0.06587049865263919,0.14388517670486142,0.5179866361375011
expression_only,0.05,navitoclax,AUC,leukemia_only,none,65,-0.16880126415700447,-0.41695567447614895,0.07935314616214001,0.17888972880716753,0.5629277595168115
expression_only,0.05,venetoclax,AUC,leukemia_only,lineage_plus_mcl1,41,-0.1647261979181137,-0.4208972803632989,0.09144488452707153,0.20065744602450336,0.5629277595168115
expression_only,0.05,navitoclax,AUC,leukemia_only,lineage,65,-0.15571975072267458,-0.4059992395407376,0.09455973809538842,0.21828213913407896,0.5659070440639328
expression_only,0.2,venetoclax,AUC,leukemia_only,lineage,62,-0.15473270430148714,-0.41204145547426274,0.10257604687128843,0.23366670098389586,0.5796745130192706
expression_only,0.2,venetoclax,AUC,leukemia_only,none,62,-0.1511931488291063,-0.40646185266957535,0.1040755550113627,0.24078534528240036,0.5796745130192706
expression_only,0.1,navitoclax,AUC,leukemia_only,lineage_plus_mcl1,44,-0.15069525078059118,-0.4163814313474252,0.1149909297862429,0.2584663561014959,0.5796745130192706
expression_only,0.05,navitoclax,LN_IC50,leukemia_only,none,65,-0.14800269032284355,-0.39699721051823444,0.10099182987254735,0.23936471039729804,0.5796745130192706
expression_only,0.05,navitoclax,LN_IC50,leukemia_only,lineage,65,-0.14008800863327542,-0.3922631516310286,0.11208713436447776,0.27108645043412205,0.5796745130192706
expression_only,0.05,venetoclax,LN_IC50,leukemia_only,lineage_plus_mcl1,41,-0.1375270862713437,-0.3882808396110639,0.11322666706837653,0.2736193186442788,0.5796745130192706
expression_only,0.1,venetoclax,AUC,lymphoma_only,lineage_plus_mcl1,28,-0.1160531056874225,-0.4295338127944511,0.19742760141960608,0.4529211001905034,0.6548256870224146
expression_only,0.2,venetoclax,AUC,lymphoma_only,lineage_plus_mcl1,28,-0.1160531056874225,-0.4295338127944511,0.19742760141960608,0.4529211001905034,0.6548256870224146
expression_only,0.2,venetoclax,LN_IC50,leukemia_only,lineage,62,-0.11586090281839213,-0.3745924185277998,0.14287061289101555,0.3738659821026994,0.6193791779095026
expression_only,0.05,venetoclax,AUC,lymphoma_only,none,48,-0.1156023829900451,-0.41039787154850926,0.17919310556841905,0.4339599127319243,0.6448508780345875
