n_side,n_spots,effect,mean_auc,power_auc_gt_0.7
10,100,0.5,0.837594696969697,1.0
10,100,1.0,0.9699337121212122,1.0
10,100,1.5,0.9969223484848484,1.0
10,100,2.0,0.9996448863636364,1.0
15,225,0.5,0.8062024182713838,1.0
15,225,1.0,0.952096394984326,1.0
15,225,1.5,0.9921350201522615,1.0
15,225,2.0,0.9990203761755485,1.0
20,400,0.5,0.8229003797185617,1.0
20,400,1.0,0.9642338619611347,1.0
20,400,1.5,0.9951325292234383,1.0
20,400,2.0,0.9995253517980791,1.0
30,900,0.5,0.8040481205217196,1.0
30,900,1.0,0.9551419754814152,1.0
30,900,1.5,0.9929047245857591,1.0
30,900,2.0,0.9989276617778773,1.0
40,1600,0.5,0.8213740779267866,1.0
40,1600,1.0,0.964073675214413,1.0
40,1600,1.5,0.9956038311629453,1.0
40,1600,2.0,0.9995683683026947,1.0
60,3600,0.5,0.8139868942008427,1.0
60,3600,1.0,0.9605093053291271,1.0
60,3600,1.5,0.9939771548347484,1.0
60,3600,2.0,0.9992535622790117,1.0
