,x,y,truth,pred_bypass,score,stability
spot0,0,0,False,False,0.03739658203125,0.9629629629629629
spot1,1,0,False,False,0.17565703124999996,0.3333333333333333
spot2,2,0,False,False,0.121981640625,0.8518518518518519
spot3,3,0,False,False,0.06502607421875,0.7407407407407407
spot4,4,0,False,False,0.20580371093750002,0.7407407407407407
spot5,5,0,False,False,0.060680175781250005,1.0
spot6,6,0,False,False,0.1497123046875,1.0
spot7,7,0,False,False,0.0041923828125,1.0
spot8,8,0,False,False,0.24269941406249995,1.0
spot9,9,0,False,False,0.04591083984374996,1.0
spot10,10,0,False,False,0.38148261718749993,0.8888888888888888
spot11,11,0,False,True,0.537048828125,0.41975308641975306
spot12,12,0,False,False,0.189484375,0.3950617283950617
spot13,13,0,False,False,0.2294953125,0.41975308641975306
spot14,14,0,False,True,0.59507421875,0.48148148148148145
spot15,15,0,False,False,0.073583984375,0.5185185185185185
spot16,16,0,False,False,0.41000625,0.48148148148148145
spot17,17,0,False,False,0.20247187500000002,0.7777777777777778
spot18,18,0,False,False,0.05629658203124998,1.0
spot19,19,0,False,False,0.3832119140625,0.8888888888888888
spot20,20,0,False,False,0.016018066406250017,1.0
spot21,21,0,False,False,0.21393046875,0.35802469135802467
spot22,22,0,False,False,0.285078125,0.4074074074074074
spot23,23,0,False,False,0.09028671875,0.7407407407407407
spot24,24,0,False,True,0.408425,0.08641975308641975
spot25,25,0,False,False,0.24073964843749995,0.48148148148148145
spot26,26,0,False,False,0.04226513671874999,1.0
spot27,27,0,False,False,0.23657958984375002,1.0
spot28,28,0,False,True,0.5161444335937501,0.2962962962962963
spot29,29,0,False,False,0.3805689453125,0.19753086419753085
spot30,30,0,False,False,0.0719126953125,1.0
spot31,31,0,False,False,0.026833203125000017,1.0
spot32,32,0,False,False,0.10341064453125001,0.7777777777777778
spot33,33,0,False,False,0.450801953125,0.7037037037037037
spot34,34,0,False,True,0.593994140625,0.6666666666666666
spot35,35,0,False,True,0.6433638671875,0.8518518518518519
spot36,36,0,False,False,0.24729003906249997,0.4444444444444444
spot37,37,0,False,False,0.18132392578124998,0.7407407407407407
spot38,38,0,False,False,0.4054681640625,0.2222222222222222
spot39,39,0,False,False,0.007470703125,0.9259259259259259
spot40,0,1,False,False,0.1871287109375,0.37037037037037035
spot41,1,1,False,False,0.00036328125000000005,0.8518518518518519
spot42,2,1,False,False,0.012333984374999999,0.8888888888888888
spot43,3,1,False,False,0.18170673828125,0.7037037037037037
spot44,4,1,False,False,0.2883890625,0.49382716049382713
spot45,5,1,False,False,0.3447615234375,0.41975308641975306
spot46,6,1,False,False,0.12714960937499997,1.0
spot47,7,1,False,False,0.08943554687500001,0.9259259259259259
spot48,8,1,False,False,0.018707812500000004,0.8888888888888888
spot49,9,1,False,False,0.11306289062500002,1.0
spot50,10,1,False,False,0.040608007812500006,0.8888888888888888
spot51,11,1,False,False,0.20221142578124995,0.7037037037037037
spot52,12,1,False,False,0.5489906250000001,0.8518518518518519
spot53,13,1,False,False,0.08905449218749999,0.8148148148148148
spot54,14,1,False,False,0.26137568359374996,0.7777777777777778
spot55,15,1,False,False,0.026296874999999997,0.8148148148148148
spot56,16,1,False,False,0.24999374999999996,0.6666666666666666
spot57,17,1,False,False,0.12194677734375,1.0
spot58,18,1,False,False,0.04321484375,0.16049382716049382
spot59,19,1,False,False,0.149848828125,1.0
spot60,20,1,False,False,0.16843232421874998,1.0
spot61,21,1,False,False,0.31924921875,0.3333333333333333
spot62,22,1,False,False,0.33164853515625,0.48148148148148145
spot63,23,1,False,False,0.0366767578125,0.6296296296296297
spot64,24,1,False,False,0.1099587890625,0.8148148148148148
spot65,25,1,False,False,0.2580287109375,0.3333333333333333
spot66,26,1,False,False,0.09546386718750002,1.0
spot67,27,1,False,False,0.06516503906249997,1.0
spot68,28,1,False,False,0.202463671875,1.0
spot69,29,1,False,False,0.04692539062500003,1.0
spot70,30,1,False,False,0.023369531249999995,1.0
spot71,31,1,False,False,0.0007503906250000001,0.2222222222222222
spot72,32,1,False,False,0.09176806640625,1.0
spot73,33,1,False,True,0.43201044921875004,0.19753086419753085
spot74,34,1,False,False,0.0549671875,0.7777777777777778
spot75,35,1,False,False,0.06456328125,0.5185185185185185
spot76,36,1,False,True,0.49407421874999996,0.5185185185185185
spot77,37,1,False,False,0.092485546875,0.7037037037037037
