rnaseq_sample,guardian_dependence,executioner_availability,r,resistant
BA2541R,0.039603960396039604,0.32390381895332393,54.093799862686,0
BA2497R,0.25742574257425743,0.9646393210749646,186.198825742912,1
BA2718R,0.005657708628005658,0.8797736916548797,131.223766909656,0
BA2575R,0.6732673267326733,0.8033946251768034,286.304063157189,1
BA2096R,0.8946251768033946,0.42857142857142855,231.867642117558,1
BA2593R,0.1471004243281471,0.042432814710042434,271.769667811606,1
BA2791R,0.5304101838755304,0.09900990099009901,52.5571206949575,0
BA2620R,0.7892503536067893,0.5742574257425742,242.627694601625,1
BA2629R,0.22701555869872703,0.06364922206506365,66.7065653228375,0
BA2348R,0.9052333804809052,0.5134370579915134,236.137734634167,1
BA2709R,0.9809052333804809,0.6605374823196606,230.731506021688,1
BA2789R,0.35007072135785006,0.8656294200848657,54.4633925267079,0
BA2694R,0.6251768033946252,0.8118811881188119,187.467409340904,1
BA2583R,0.44554455445544555,0.4823196605374823,141.566086811628,0
BA2722R,0.05374823196605375,0.1371994342291372,166.317107801866,1
BA2806R,0.23196605374823195,0.9660537482319661,262.746978601148,1
BA2514R,0.9929278642149929,0.38330975954738333,192.040981387145,1
BA2520R,0.3422913719943423,0.6336633663366337,47.9020090662611,0
BA2441R,0.057284299858557285,0.16973125884016974,83.3742479745311,0
BA2932R,0.14002828854314003,0.8528995756718529,286.327943276273,1
BA2844R,0.6732673267326733,0.9618104667609618,149.773152676359,0
BA2660R,0.051626591230551626,0.5417256011315418,184.627104124671,1
BA2836R,0.9915134370579916,0.9632248939179632,223.672100696082,1
BA3027R,0.8826025459688827,0.44130127298444133,259.637272096199,1
BA2714R,0.1746817538896747,0.5785007072135785,205.516365740245,1
BA2139R,0.632956152758133,0.900990099009901,242.221148784007,1
BA2251R,0.01272984441301273,0.6435643564356436,83.7425879409588,0
BA2952R,0.2446958981612447,0.9985855728429985,89.7385197200482,0
BA2440R,0.8451202263083452,0.18104667609618105,232.801903422504,1
BA2036R,0.6251768033946252,0.8769448373408769,59.6116343349775,0
BA2532R,0.4045261669024045,0.9575671852899575,15.8060222207107,0
BA2515R,0.5869872701555869,0.5431400282885431,214.963234731259,1
BA2748R,0.10537482319660538,0.6676096181046676,88.7225102789263,0
BA2970R,0.9052333804809052,0.6987270155586988,193.809057126572,1
BA2839R,0.3132956152758133,0.2927864214992928,206.538386090109,1
BA2052R,0.6548797736916548,0.8203677510608204,240.047991712511,1
BA3011R,0.6082036775106082,0.6803394625176803,75.1304592484309,0
BA2868R,0.13295615275813297,0.8698727015558698,175.596191860432,1
BA2065R,0.3316831683168317,0.17256011315417255,199.193285822024,1
BA2804R,0.64002828854314,0.031117397454031116,162.403274443784,1
BA2670R,0.6803394625176803,0.21782178217821782,226.61300675658,1
BA2675R,0.2446958981612447,0.9745403111739745,26.891018055023,0
BA2589R,0.6683168316831684,0.8345120226308345,153.159442316705,0
BA2031R,0.03536067892503536,0.8981612446958982,187.706080648474,1
BA2066R,0.19872701555869873,0.768033946251768,61.9112000459533,0
BA2344R,0.47454031117397455,0.5162659123055162,161.867292906479,1
BA2559R,0.963932107496464,0.5487977369165488,222.921223140722,1
BA2000R,0.16124469589816123,0.8727015558698727,149.989865947091,0
