gene,s3_score,n_specs_present
SELP,1.0,30
NFIL3,1.0,30
TFPI2,1.0,30
SST,1.0,30
PAK3,1.0,30
TPSB2,1.0,30
POLR2J3,1.0,30
RIN3,1.0,30
CD55,1.0,30
HBG2,1.0,30
CXCL12,1.0,30
CP,1.0,30
PDYN,1.0,30
MEPE,1.0,30
HAPLN3,1.0,30
RAB3C,1.0,30
EDNRA,1.0,30
DES,1.0,30
RANBP3L,1.0,30
SLC2A3,1.0,30
FSTL3,1.0,30
INHBA,1.0,30
TNXB,1.0,30
SMARCC1,1.0,30
GAD1,1.0,30
COL14A1,1.0,30
MT1G,1.0,30
PRF1,1.0,30
IGHA1,1.0,30
BCL2,1.0,30
SPHK1,1.0,30
SOX18,1.0,30
EMCN,1.0,30
MUSTN1,1.0,30
CRLF1,1.0,30
SRARP,1.0,30
TWIST1,1.0,30
NTSR1,1.0,30
EXOC3L1,1.0,30
FCGR2B,1.0,30
CCDC3,1.0,30
COLEC12,1.0,30
SYT7,1.0,30
GDF15,1.0,30
JAK3,1.0,30
BIRC3,1.0,30
KMT2E-AS1,1.0,30
CLDN7,1.0,30
RAPGEF5,1.0,30
MME,1.0,30
MALL,1.0,30
CHRDL1,1.0,30
NR2F2,1.0,30
LIF,1.0,30
ATP8A1,1.0,30
CCN5,1.0,30
MUCL1,1.0,30
CAVIN2,1.0,30
KLF5,1.0,30
PLN,1.0,30
PTPRB,1.0,30
CCDC91,1.0,30
SOBP,1.0,30
IGLC3,1.0,30
ENG,1.0,30
PRKCZ,1.0,30
CLEC7A,1.0,30
TGFA,1.0,30
GPC3,1.0,30
RNASE1,1.0,30
CEBPB,1.0,30
CREG2,1.0,30
GABRB2,1.0,30
NEGR1,1.0,30
NECAB1,1.0,30
PNOC,1.0,30
SLIT3,1.0,30
KIF1A,1.0,30
PTPRK,1.0,30
DAAM2,1.0,30
HSPA6,1.0,30
ATP1B1,1.0,30
IBSP,1.0,30
TRH,1.0,30
PDE4C,1.0,30
PFKFB4,1.0,30
AC103718.1,1.0,30
IGSF21,1.0,30
PPP1R3C,1.0,30
LTF,1.0,30
DKK1,1.0,30
S1PR3,1.0,30
TAF3,1.0,30
FMOD,1.0,30
HIST1H4C,1.0,30
NETO2,1.0,30
KIAA1755,1.0,30
JCHAIN,1.0,30
TNR,1.0,30
HIGD1B,1.0,30
CALCRL,1.0,30
ST14,1.0,30
HHATL,1.0,30
HSD17B2,1.0,30
CD34,1.0,30
COL15A1,1.0,30
CCK,1.0,30
ACVRL1,1.0,30
IGLC1,1.0,30
CA9,1.0,30
PPP1R15A,1.0,30
LRRC7,1.0,30
CTIF,1.0,30
ACKR1,1.0,30
PRXL2B,1.0,30
MAOB,1.0,30
DDN-AS1,1.0,30
GABRD,1.0,30
SHANK3,1.0,30
ADAMTSL4-AS1,1.0,30
CD52,1.0,30
TPSAB1,1.0,30
SFRP4,1.0,30
HES1,1.0,30
CEP290,0.9666666666666667,29
TCEAL2,0.9666666666666667,29
ATP2A3,0.9666666666666667,29
RASGRP2,0.9666666666666667,29
APLN,0.9666666666666667,29
APLNR,0.9666666666666667,29
STXBP1,0.9666666666666667,29
RYBP,0.9666666666666667,29
BOK,0.9666666666666667,29
DLL4,0.9666666666666667,29
UGCG,0.9666666666666667,29
PLD4,0.9666666666666667,29
LINC00632,0.9666666666666667,29
LINC01116,0.9666666666666667,29
SMOC2,0.9666666666666667,29
CARMN,0.9666666666666667,29
ACAN,0.9666666666666667,29
AL118516.1,0.9666666666666667,29
TPD52L1,0.9666666666666667,29
GPX3,0.9666666666666667,29
LUZP2,0.9666666666666667,29
UNC5B,0.9666666666666667,29
COL12A1,0.9666666666666667,29
CAMK2A,0.9666666666666667,29
GAD2,0.9666666666666667,29
CRIP1,0.9666666666666667,29
LAMA4,0.9666666666666667,29
IL3RA,0.9666666666666667,29
MEG8,0.9666666666666667,29
SCARF2,0.9666666666666667,29
PAPSS2,0.9666666666666667,29
FILIP1L,0.9666666666666667,29
CHIT1,0.9666666666666667,29
MECOM,0.9666666666666667,29
RLF,0.9666666666666667,29
THY1,0.9666666666666667,29
ARRB1,0.9666666666666667,29
MRGPRF,0.9666666666666667,29
RBBP6,0.9666666666666667,29
TES,0.9666666666666667,29
RASSF9,0.9666666666666667,29
TRPV2,0.9666666666666667,29
EVI2B,0.9666666666666667,29
MMP11,0.9666666666666667,29
PRELID2,0.9666666666666667,29
GIMAP6,0.9666666666666667,29
MMP2,0.9666666666666667,29
SNCG,0.9666666666666667,29
VCAN,0.9666666666666667,29
SLC6A6,0.9666666666666667,29
S1PR4,0.9666666666666667,29
ATCAY,0.9333333333333333,28
THBS2,0.9333333333333333,28
PGF,0.9333333333333333,28
ELAVL2,0.9333333333333333,28
ADGRF5,0.9333333333333333,28
OSER1,0.9333333333333333,28
GALNT15,0.9333333333333333,28
ESM1,0.9333333333333333,28
OAS1,0.9333333333333333,28
MSMP,0.9333333333333333,28
MYH11,0.9333333333333333,28
SPEGNB,0.9333333333333333,28
